








joshuamiller;flotilla;open;Aldric Giacomoni;Fri Sep 03 12:06:12 BRT 2010;null;1867;




jrray;gotefarm;open;null;Sat May 16 04:18:30 BRT 2009;null;2343;









rsim;oracle-enhanced;closed;Yasuo Honda;Fri Jul 31 09:45:20 BRT 2015;Fri Jul 31 09:47:24 BRT 2015;0;
rsim;oracle-enhanced;closed;null;Wed Jul 22 11:29:05 BRT 2015;Wed Jul 22 12:44:02 BRT 2015;0;
rsim;oracle-enhanced;closed;Alessandro Rodi;Tue Jul 21 04:47:47 BRT 2015;Tue Jul 21 07:12:22 BRT 2015;0;
rsim;oracle-enhanced;closed;Yasuo Honda;Mon Jul 20 12:23:45 BRT 2015;Mon Jul 20 12:23:50 BRT 2015;0;
rsim;oracle-enhanced;closed;Yasuo Honda;Mon Jul 20 12:02:28 BRT 2015;Mon Jul 20 12:02:33 BRT 2015;0;
rsim;oracle-enhanced;closed;Yasuo Honda;Fri Jul 17 09:01:45 BRT 2015;Fri Jul 17 09:01:59 BRT 2015;0;
rsim;oracle-enhanced;closed;Benjamin Ortega;Thu Jul 16 15:26:41 BRT 2015;Thu Jul 16 17:29:32 BRT 2015;0;
rsim;oracle-enhanced;closed;Tolga Paksoy;Wed Jul 15 10:11:54 BRT 2015;Mon Oct 05 06:16:17 BRT 2015;81;
rsim;oracle-enhanced;closed;Benjamin Ortega;Tue Jul 14 15:46:00 BRT 2015;Tue Jul 14 18:54:11 BRT 2015;0;
rsim;oracle-enhanced;closed;Benjamin Ortega;Tue Jul 14 13:26:46 BRT 2015;Tue Jul 14 15:37:48 BRT 2015;0;
rsim;oracle-enhanced;closed;C. Gerardo Kobluk;Mon Jul 13 17:30:26 BRT 2015;Mon Oct 12 09:50:05 BRT 2015;90;
rsim;oracle-enhanced;closed;null;Thu Jul 09 05:08:12 BRT 2015;Mon Oct 12 18:00:29 BRT 2015;95;
rsim;oracle-enhanced;open;Dharshi Fernando;Mon Jul 06 22:15:26 BRT 2015;null;100;
rsim;oracle-enhanced;closed;Yasuo Honda;Mon Jul 06 09:21:22 BRT 2015;Mon Jul 06 09:21:27 BRT 2015;0;
rsim;oracle-enhanced;closed;Dharshi Fernando;Sat Jul 04 03:15:40 BRT 2015;Mon Jul 06 09:23:16 BRT 2015;2;
rsim;oracle-enhanced;closed;Yasuo Honda;Thu Jul 02 17:24:31 BRT 2015;Thu Jul 02 17:24:36 BRT 2015;0;
rsim;oracle-enhanced;closed;Frank Pimenta;Wed Jul 01 10:18:23 BRT 2015;Mon Jul 06 17:19:51 BRT 2015;5;
